scene,room_instance,room_type,object_category,label
Beechwood_0_garden,bathroom_0,bathroom,arbor,0
Beechwood_0_garden,bathroom_0,bathroom,bar,0
Beechwood_0_garden,bathroom_0,bathroom,baseboard,0
Beechwood_0_garden,bathroom_0,bathroom,bathtub,0
Beechwood_0_garden,bathroom_0,bathroom,bed,0
Beechwood_0_garden,bathroom_0,bathroom,bed_screen,0
Beechwood_0_garden,bathroom_0,bathroom,beer_glass,0
Beechwood_0_garden,bathroom_0,bathroom,beer_tap,0
Beechwood_0_garden,bathroom_0,bathroom,bench,0
Beechwood_0_garden,bathroom_0,bathroom,bench_press_machine,0
Beechwood_0_garden,bathroom_0,bathroom,blackboard,0
Beechwood_0_garden,bathroom_0,bathroom,bookcase,0
Beechwood_0_garden,bathroom_0,bathroom,booth,0
Beechwood_0_garden,bathroom_0,bathroom,bottle_of_tea,0
Beechwood_0_garden,bathroom_0,bathroom,bottom_cabinet,0
Beechwood_0_garden,bathroom_0,bathroom,bottom_cabinet_no_top,0
Beechwood_0_garden,bathroom_0,bathroom,boulder,0
Beechwood_0_garden,bathroom_0,bathroom,burner,0
Beechwood_0_garden,bathroom_0,bathroom,car,0
Beechwood_0_garden,bathroom_0,bathroom,carpet,1
Beechwood_0_garden,bathroom_0,bathroom,cash_register,0
Beechwood_0_garden,bathroom_0,bathroom,cedar_chest,0
Beechwood_0_garden,bathroom_0,bathroom,ceiling_air_conditioner,0
Beechwood_0_garden,bathroom_0,bathroom,ceiling_fan,0
Beechwood_0_garden,bathroom_0,bathroom,ceiling_mounted_basketball_hoop,0
Beechwood_0_garden,bathroom_0,bathroom,ceiling_mounted_projector,0
Beechwood_0_garden,bathroom_0,bathroom,chair,0
Beechwood_0_garden,bathroom_0,bathroom,chandelier,0
Beechwood_0_garden,bathroom_0,bathroom,charcoal_grill,0
Beechwood_0_garden,bathroom_0,bathroom,checkout_counter,0
Beechwood_0_garden,bathroom_0,bathroom,clothes_dryer,0
Beechwood_0_garden,bathroom_0,bathroom,clothesline_pole,0
Beechwood_0_garden,bathroom_0,bathroom,coatrack,0
Beechwood_0_garden,bathroom_0,bathroom,coffee_maker,0
Beechwood_0_garden,bathroom_0,bathroom,countertop,0
Beechwood_0_garden,bathroom_0,bathroom,crib,0
Beechwood_0_garden,bathroom_0,bathroom,cubicle,0
Beechwood_0_garden,bathroom_0,bathroom,decorative_sign,0
Beechwood_0_garden,bathroom_0,bathroom,deep_fryer,0
Beechwood_0_garden,bathroom_0,bathroom,desk,0
Beechwood_0_garden,bathroom_0,bathroom,dessert_stand,0
Beechwood_0_garden,bathroom_0,bathroom,dish_rack_cart,0
Beechwood_0_garden,bathroom_0,bathroom,dishwasher,0
Beechwood_0_garden,bathroom_0,bathroom,display_case,0
Beechwood_0_garden,bathroom_0,bathroom,display_fridge,0
Beechwood_0_garden,bathroom_0,bathroom,door,1
