scene,scene_file,object_name,object_category,merged_category,model,room_instance,room_type
Beechwood_0_garden,Beechwood_0_garden_best.json,countertop_jveutp_0,countertop,countertop,jveutp,kitchen_0,kitchen
Beechwood_0_garden,Beechwood_0_garden_best.json,countertop_jveutp_1,countertop,countertop,jveutp,kitchen_0,kitchen
Beechwood_0_garden,Beechwood_0_garden_best.json,countertop_jveutp_2,countertop,countertop,jveutp,kitchen_0,kitchen
Beechwood_0_garden,Beechwood_0_garden_best.json,armchair_bslhmj_0,armchair,chair,bslhmj,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,armchair_vzhxuf_0,armchair,chair,vzhxuf,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,bookcase_owvfik_0,bookcase,bookcase,owvfik,kitchen_0,kitchen
Beechwood_0_garden,Beechwood_0_garden_best.json,bookcase_owvfik_1,bookcase,bookcase,owvfik,living_room_0,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,bookcase_owvfik_2,bookcase,bookcase,owvfik,kitchen_0,kitchen
Beechwood_0_garden,Beechwood_0_garden_best.json,bottom_cabinet_qacthv_0,bottom_cabinet,bottom_cabinet,qacthv,living_room_0,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,breakfast_table_skczfi_0,breakfast_table,table,skczfi,living_room_0,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,breakfast_table_skczfi_1,breakfast_table,table,skczfi,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,breakfast_table_skczfi_2,breakfast_table,table,skczfi,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,cedar_chest_fwstpx_0,cedar_chest,cedar_chest,fwstpx,kitchen_0,kitchen
Beechwood_0_garden,Beechwood_0_garden_best.json,coffee_table_dnsjnv_0,coffee_table,table,dnsjnv,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,coffee_table_qlmqyy_0,coffee_table,table,qlmqyy,living_room_0,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,floor_lamp_jcbvfi_0,floor_lamp,floor_lamp,jcbvfi,living_room_0,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,floor_lamp_vdxlda_0,floor_lamp,floor_lamp,vdxlda,living_room_0,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,floor_lamp_vdxlda_1,floor_lamp,floor_lamp,vdxlda,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,floor_lamp_vdxlda_2,floor_lamp,floor_lamp,vdxlda,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,floor_lamp_vdxlda_3,floor_lamp,floor_lamp,vdxlda,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,ottoman_miftfy_0,ottoman,ottoman,miftfy,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,piano_bnxcvw_0,piano,piano,bnxcvw,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,straight_chair_amgwaw_0,straight_chair,chair,amgwaw,living_room_1,living_room
Beechwood_0_garden,Beechwood_0_garden_best.json,straight_chair_dmcixv_0,straight_chair,chair,dmcixv,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,straight_chair_dmcixv_1,straight_chair,chair,dmcixv,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,straight_chair_dmcixv_2,straight_chair,chair,dmcixv,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,straight_chair_dmcixv_3,straight_chair,chair,dmcixv,dining_room_0,dining_room
Beechwood_0_garden,Beechwood_0_garden_best.json,straight_chair_dmcixv_4,straight_chair,chair,dmcixv,dining_room_0,dining_room
